name,,year,seller_type,owner,km_driven,ex_showroom_price,selling_price
TVS Apache RTR 200 4V,,2018,Individual,1st owner,9600,,95000
Bajaj V15,,2016,Individual,1st owner,35000,65626,42000
TVS XL 100 Heavy Duty,,2019,Individual,1st owner,11000,,40000
Yamaha FZ S V 2.0,,2015,Individual,1st owner,20000,84042,50000
Hero HF Deluxe,,2018,Individual,1st owner,13000,,40000
Aprilia SR 125,,2019,Individual,1st owner,3500,,75000
Yamaha FZ25,,2017,Individual,1st owner,9000,132680,120000
Hero Honda Glamour,,2008,Individual,1st owner,7500,,30000
Bajaj Discover 125 ST,,2013,Individual,1st owner,38000,58438,17500
Hero Honda Passion Plus,,2004,Individual,1st owner,120000,,7500
Honda Aviator,,2018,Individual,1st owner,6465,61118,57000
Vespa SXL 149,,2018,Individual,1st owner,18803,,80000
TVS Scooty Pep Plus,,2010,Individual,1st owner,20000,,18000
Hero Xtreme [2013-2014],,2013,Individual,1st owner,24000,75936,25000
Royal Enfield Thunderbird 350,,2014,Individual,2nd owner,22000,,83900
UM Renegade Commando,,2018,Individual,1st owner,7000,180525,160000
Royal Enfield Classic Gunmetal Grey,,2018,Individual,1st owner,6100,148114,135000
Honda CB Hornet 160R,,2017,Individual,1st owner,14000,87543,55000
Honda Shine,,2017,Individual,1st owner,23000,,50000
Bajaj Discover 100,,2012,Individual,1st owner,85000,42859,20000
Hero Honda CBZ extreme,,2010,Individual,1st owner,40000,,25000
Royal Enfield Classic 350,,2017,Individual,1st owner,18000,,125000
Honda Activa 5G,,2019,Individual,1st owner,10000,57557,55000
Bajaj Avenger Street 150 [2018],,2016,Individual,1st owner,40000,80435,50000
Royal Enfield Continental GT 650,,2019,Individual,1st owner,1500,,299000
Honda Activa 3G,,2015,Individual,1st owner,30000,54605,60000
Honda Activa 3G,,2015,Individual,1st owner,3000,54605,40000
Bajaj Pulsar 180,,2008,Individual,1st owner,55000,85011,15000
Harley-Davidson Street Bob,,2013,Individual,2nd owner,12000,1278000,750000
Hero Honda CBZ extreme,,2007,Individual,1st owner,90000,,20000
Royal Enfield Classic Gunmetal Grey,,2020,Individual,1st owner,500,155740,190000
KTM 390 Duke ABS [2013-2016],,2015,Individual,1st owner,50000,202127,130000
Honda CB Hornet 160R,,2016,Individual,1st owner,25000,88161,54786
KTM 200 Duke,,2013,Individual,1st owner,36500,,72000
Hero Karizma 2014,,2013,Individual,1st owner,26000,86744,35000
Hero Glamour 125,,2017,Individual,1st owner,18000,61600,45000
Royal Enfield Classic 350,,2013,Individual,1st owner,49000,,85000
Royal Enfield Classic 500,,2013,Individual,1st owner,18000,156304,100000
Bajaj Dominar 400,,2017,Individual,1st owner,15000,,138000
Royal Enfield Thunderbird 350X,,2018,Individual,1st owner,8500,,150000
KTM RC 390,,2017,Individual,1st owner,3775,,180000
Royal Enfield Thunderbird 350,,2015,Individual,1st owner,14500,,100000
Hero Hunk,,2010,Individual,1st owner,35000,78513,20000
KTM 390 Duke,,2017,Individual,1st owner,14000,,170000
Suzuki Gixxer [2014-2018],,2016,Individual,1st owner,16000,84246,60000
Royal Enfield Bullet 350,,2016,Individual,1st owner,7000,,123000
Suzuki Access 125,,2017,Individual,1st owner,4000,,60000
TVS Apache RTR 200 4V,,2017,Individual,1st owner,45000,,100000
Hero Xtreme Sports,,2014,Individual,1st owner,99000,78350,22000
Honda Activa [2000-2015],,2014,Individual,1st owner,52000,50267,30000
Bajaj Discover 125,,2013,Individual,1st owner,45000,60122,28000
Bajaj Pulsar 150,,2007,Individual,1st owner,52000,,50000
Yamaha Saluto RX,,2017,Individual,1st owner,27000,49521,40000
Hero HF Deluxe,,2018,Individual,1st owner,60000,,43000
Suzuki Access 125,,2015,Individual,1st owner,2300,,40000
Royal Enfield Classic Desert Storm,,2012,Individual,1st owner,15000,181445,100000
Hero HF Deluxe,,2016,Individual,1st owner,50000,,30000
KTM RC 200,,2017,Individual,1st owner,27000,,130000
Honda CB Hornet 160R,,2016,Individual,2nd owner,25000,88161,48000
Bajaj CT 100,,2017,Individual,1st owner,40000,,32000
Hero Honda Pleasure,,2010,Individual,1st owner,32000,,23000
Bajaj Pulsar 135 LS,,2010,Individual,2nd owner,50000,64589,20000
Royal Enfield Classic 350,,2017,Individual,1st owner,36000,,125000
Honda Navi [2016-2017],,2016,Individual,1st owner,17450,44389,23000
Bajaj Discover 125,,2011,Individual,1st owner,32000,57549,15000
Yamaha SZ RR V 2.0,,2015,Individual,1st owner,38000,69983,35000
Bajaj Discover 150,,2014,Individual,2nd owner,71000,54299,25000
Bajaj Pulsar 150,,2019,Individual,1st owner,8000,,80000
TVS Flame,,2010,Individual,1st owner,12000,,15000
Vespa VX 125,,2013,Individual,2nd owner,50000,72303,45000
Yamaha SZ X,,2012,Individual,2nd owner,30000,65800,25000
Honda CBF Stunner,,2013,Individual,1st owner,15888,58757,35000
Bajaj Discover 100 T,,2013,Individual,1st owner,26000,47032,25000
Royal Enfield Classic 350,,2018,Individual,1st owner,5600,,170000
Honda Activa [2000-2015],,2014,Individual,1st owner,41000,50267,25000
Royal Enfield Electra 5 S,,2007,Individual,2nd owner,19612,,60000
Bajaj Pulsar 150,,2012,Individual,1st owner,17000,,41000
Honda Shine,,2012,Individual,1st owner,33700,,35000
Honda CB Unicorn 160,,2015,Individual,1st owner,100000,79233,75000
Honda Activa 3G,,2016,Individual,1st owner,6000,54605,47999
Honda Shine,,2011,Individual,1st owner,21000,,36999
Bajaj Pulsar 180,,2007,Individual,1st owner,80000,85011,25000
Suzuki Gixxer SF,,2016,Individual,1st owner,15000,,60000
Honda CB Unicorn 150,,2007,Individual,1st owner,46000,74295,50000
Yamaha YZF R15 [2011-2018],,2013,Individual,1st owner,11000,118997,65000
TVS Sport,,2007,Individual,1st owner,72000,,12000
Bajaj Pulsar AS200,,2015,Individual,1st owner,50000,92074,60000
Honda Activa [2000-2015],,2010,Individual,1st owner,50000,50267,20000
Yamaha FZ16,,2011,Individual,1st owner,67000,78712,27000
Bajaj Boxer,,2000,Individual,1st owner,30000,,10000
Hero Honda Hunk,,2015,Individual,1st owner,48000,,56000
Hero Honda Hunk,,2015,Individual,1st owner,48000,,58000
Bajaj Avenger Cruise 220,,2018,Individual,1st owner,8000,,87000
Yamaha Ray Z,,2015,Individual,1st owner,15500,52949,35000
Bajaj Pulsar 180,,2012,Individual,1st owner,45000,85011,35000
Bajaj Discover 150F,,2014,Individual,2nd owner,60855,64071,40000
Bajaj Pulsar 135 LS,,2017,Individual,3rd owner,37714,64589,56000
Bajaj Pulsar 180,,2008,Individual,2nd owner,60000,85011,30000
Honda Activa 125 [2016-2017],,2017,Individual,1st owner,26000,61545,40000
Hero HF Deluxe,,2019,Individual,1st owner,6000,,60000
Hero Karizma 2014,,2013,Individual,1st owner,30000,86744,40000
Bajaj Platina 100,,2018,Individual,1st owner,17000,,40000
Royal Enfield Bullet 500,,2015,Individual,1st owner,34601,168482,130000
Bajaj Pulsar AS200,,2015,Individual,1st owner,48000,92074,45000
Yamaha FZ S [2012-2016],,2013,Individual,1st owner,60000,79432,42000
Bajaj Pulsar 220 Fi,,2012,Individual,1st owner,44000,,25000
Bajaj Pulsar 150,,2006,Individual,1st owner,55000,,15000
Bajaj Dominar 400 [2018],,2018,Individual,1st owner,16000,163331,170000
Hero Passion X Pro [2016-2017],,2016,Individual,2nd owner,20000,59095,38000
Yamaha FZ S V 2.0,,2015,Individual,2nd owner,17500,84042,60000
TVS Apache RTR 160,,2017,Individual,1st owner,46000,,65000
Bajaj Avenger [2015],,2011,Individual,1st owner,30000,75502,35000
Bajaj Pulsar 150,,2019,Individual,1st owner,6500,,70000
Hero Honda Glamour,,2006,Individual,1st owner,80000,,15000
Hero Splendor iSmart,,2017,Individual,2nd owner,10000,52271,50000
Royal Enfield Classic 350,,2017,Individual,1st owner,2200,,145000
Yamaha FZ16,,2008,Individual,1st owner,40000,78712,25000
Hero Xtreme Sports,,2016,Individual,1st owner,21000,80350,58000
Royal Enfield Bullet 350 [2007-2011],,2007,Individual,1st owner,3500,,90000
Hero Honda Passion,,2002,Individual,2nd owner,66191,,9000
Bajaj Discover 150S,,2014,Individual,1st owner,50000,63331,40000
TVS Scooty Zest 110,,2015,Individual,1st owner,32800,52372,28000
Bajaj Avenger Street 150 [2018],,2016,Individual,1st owner,32000,80435,50000
Yamaha Cygnus Ray ZR,,2019,Individual,1st owner,3900,58630,56000
Honda Activa [2000-2015],,2014,Individual,1st owner,10000,50267,35000
TVS Apache RTR 200 4V,,2018,Individual,1st owner,9600,,95000
Honda Shine,,2010,Individual,1st owner,46782,,30000
Honda CB Hornet 160R,,2019,Individual,1st owner,8000,94703,95000
Honda Activa i [2016-2017],,2017,Individual,1st owner,11000,53436,40000
Hero Karizma 2014,,2014,Individual,2nd owner,51000,86744,30000
Bajaj Discover 100 T,,2013,Individual,1st owner,45000,47032,18000
Honda Aviator,,2008,Individual,1st owner,66000,59183,14000
Hero Splendor Plus,,2010,Individual,2nd owner,50000,,17000
Royal Enfield Thunderbird 350,,2017,Individual,1st owner,23500,,125000
Bajaj CT 110,,2015,Individual,1st owner,25000,,20000
Hero Passion PRO i3s,,2017,Individual,1st owner,41000,56925,50000
KTM RC 390,,2017,Individual,1st owner,12000,,210000
Bajaj Pulsar 220F,,2018,Individual,1st owner,33000,,70000
Hero Maestro Edge,,2017,Individual,1st owner,15000,55980,40000
Bajaj Xcd,,2008,Individual,1st owner,50000,,10000
Bajaj Pulsar 150,,2010,Individual,1st owner,40000,,35000
TVS Centra,,2005,Individual,1st owner,50000,,10000
Honda Activa 3G,,2015,Individual,1st owner,20000,54605,42000
Yamaha FZ16,,2009,Individual,1st owner,50000,78712,20000
Hero Maestro Edge,,2017,Individual,1st owner,55000,52790,25000
Bajaj Discover 125,,2016,Individual,1st owner,70350,60122,25000
Royal Enfield Thunderbird 350X,,2019,Individual,1st owner,2700,164004,145000
Hero Super Splendor,,2016,Individual,1st owner,20000,,50000
TVS Scooty Pep Plus,,2011,Individual,1st owner,20000,,30000
Yamaha FZ V 2.0,,2014,Individual,1st owner,41311,81508,60000
Hero Honda Splendor Plus,,2005,Individual,1st owner,65000,,15000
Hero CD Deluxe,,2014,Individual,2nd owner,34000,,15000
Hero Honda Passion PRO [2012],,2011,Individual,1st owner,20000,,25000
Hero HF Deluxe i3s,,2019,Individual,1st owner,11000,,54000
Bajaj Xcd,,2007,Individual,1st owner,75000,,25000
Royal Enfield Interceptor 650,,2019,Individual,1st owner,1200,,260000
Honda CBR-250R,,2014,Individual,1st owner,19000,199275,100000
Bajaj Kristal,,2007,Individual,1st owner,30000,,15000
Hero Honda Splendor Plus,,2006,Individual,1st owner,23000,,20000
Honda Dream Yuga,,2014,Individual,1st owner,10000,56147,35000
Yamaha FZ S V 2.0,,2016,Individual,1st owner,40000,87042,50000
Hero Xpulse 200,,2019,Individual,1st owner,8600,107500,90000
Bajaj V15,,2016,Individual,1st owner,45000,67187,40000
Bajaj Avenger Street 220,,2016,Individual,1st owner,7200,95955,80000
Bajaj Discover 135,,2010,Individual,1st owner,31195,,20000
Honda CB Unicorn 150,,2017,Individual,1st owner,18000,74295,70000
Vespa SXL 149,,2019,Individual,1st owner,1000,,98000
Royal Enfield Machismo,,2008,Individual,2nd owner,17000,,75000
Honda CB Shine SP,,2016,Individual,1st owner,46000,67214,50000
Honda CB Unicorn 150,,2014,Individual,1st owner,77592,74295,40000
Honda CB Unicorn 150,,2013,Individual,1st owner,54000,74295,75000
Honda CB Unicorn 150,,2013,Individual,1st owner,17000,74295,50000
Bajaj Pulsar 150,,2014,Individual,1st owner,60000,,60000
TVS Apache RTR 160,,2016,Individual,1st owner,40000,,50000
Honda Dio,,2014,Individual,1st owner,25000,,35000
Royal Enfield Thunderbird 350,,2018,Individual,1st owner,19000,,160000
Hero Maestro,,2015,Individual,2nd owner,40000,49412,25000
Hero Honda CBZ extreme,,2010,Individual,1st owner,51000,,42000
Bajaj Dominar 400,,2019,Individual,1st owner,7600,,200000
Honda Activa 125,,2014,Individual,1st owner,14965,,40000
Royal Enfield Classic Desert Storm,,2015,Individual,2nd owner,25000,181445,130000
KTM 250 Duke,,2019,Individual,1st owner,6000,,195000
KTM RC 390,,2019,Individual,1st owner,2380,,270000
Kawasaki Ninja 650 [2018-2019],,2017,Individual,2nd owner,13600,599000,425000
TVS Apache RTR 200 4V,,2018,Individual,1st owner,10000,,85000
Kawasaki Ninja 250R,,2010,Individual,2nd owner,21000,317934,125000
TVS Wego,,2018,Individual,1st owner,10000,54760,45000
Honda CBR-250R,,2014,Individual,2nd owner,18600,171646,85000
Bajaj Pulsar NS200,,2018,Individual,1st owner,7750,,85000
Suzuki GSX S750,,2019,Individual,1st owner,2800,752020,760000
Royal Enfield Thunderbird 350,,2015,Individual,1st owner,30000,,100000
Royal Enfield Classic 350,,2015,Individual,1st owner,9800,,95000
Honda CB Shine SP,,2015,Individual,1st owner,25000,67469,48000
Bajaj Avenger Street 150 [2018],,2016,Individual,1st owner,29689,80435,40000
Honda CBF Stunner,,2014,Individual,1st owner,43000,58757,37000
Bajaj Avenger [2015],,2014,Individual,2nd owner,28243,75502,38000
Suzuki Gixxer [2014-2018],,2015,Individual,1st owner,25000,78316,55000
Suzuki Access 125,,2017,Individual,1st owner,22300,,45000
TVS Scooty Streak,,2009,Individual,2nd owner,33595,44140,18000
Royal Enfield Thunderbird 350X,,2018,Individual,1st owner,5505,,140000
Yamaha Rx,,2000,Individual,3rd owner,5000,,70000
Hero Honda Splendor Plus,,2007,Individual,1st owner,30000,,15000
Bajaj Pulsar 125,,2019,Individual,1st owner,16000,,65000
Honda Activa 5G,,2018,Individual,1st owner,22000,57557,42000
Yamaha Fazer Dlx,,2012,Individual,1st owner,40000,,58000
Harley-Davidson Street 750,,2014,Individual,4th owner,6500,534000,330000
Hero Xtreme 2014,,2013,Individual,1st owner,15000,72973,35000
Royal Enfield Classic 350,,2018,Individual,1st owner,17365,,162000
Hero Honda Hunk,,2009,Individual,1st owner,40000,,28000
Royal Enfield Interceptor 650,,2019,Individual,1st owner,5500,,285000
Royal Enfield Classic 350,,2017,Individual,1st owner,33900,,125000
Bajaj Pulsar 150 [2001-2011],,2005,Individual,1st owner,47670,,15000
Honda Activa [2000-2015],,2013,Individual,1st owner,45000,50267,29500
TVS Apache RR310,,2019,Individual,1st owner,5000,,200000
Jawa Standard,,2019,Individual,1st owner,5700,,160000
Hero Honda Splendor PRO,,2012,Individual,1st owner,22866,,30000
Yamaha FZ25,,2019,Individual,1st owner,10000,133680,110000
Bajaj Pulsar 220F,,2016,Individual,1st owner,31000,,70000
Yamaha Fascino 110,,2019,Individual,1st owner,1600,57112,69000
Yamaha FZ16,,2011,Individual,1st owner,44000,78712,30000
Yamaha FZ16,,2010,Individual,1st owner,70000,78712,30000
TVS Star City Plus,,2017,Individual,1st owner,21000,,42000
Royal Enfield Classic 350,,2018,Individual,1st owner,17365,,160000
Bajaj Pulsar 135 LS,,2010,Individual,1st owner,80000,64589,20000
Suzuki Access 125,,2017,Individual,1st owner,15000,,45000
Bajaj Pulsar 135 LS,,2010,Individual,1st owner,77000,64589,23000
UM Renegade Commando,,2017,Individual,2nd owner,40000,180525,140000
Hero Honda Splendor Plus,,2005,Individual,1st owner,48000,,12000
Hero Passion PRO i3s,,2017,Individual,1st owner,18000,56925,50000
Royal Enfield Classic 350,,2018,Individual,1st owner,20000,,140000
Honda Activa 5G,,2019,Individual,1st owner,9000,59422,55000
Yamaha Fascino 110,,2016,Individual,1st owner,56000,54500,45000
Hero Splendor Plus,,2012,Individual,1st owner,50000,,25000
Royal Enfield Thunderbird 350,,2014,Individual,1st owner,12000,,90000
Yamaha YZF R15 V3,,2018,Individual,1st owner,11500,,120000
KTM RC 200,,2015,Individual,1st owner,20000,,120000
TVS Radeon,,2017,Individual,1st owner,20000,66492,35000
Hero HF Deluxe,,2017,Individual,1st owner,27000,,35000
BMW G310GS,,2018,Individual,1st owner,2500,349000,300000
Royal Enfield Thunderbird 350,,2012,Individual,1st owner,20477,,87000
Hero Honda Splendor Plus,,2010,Individual,1st owner,35700,,18000
Yamaha FZ S V 2.0,,2014,Individual,1st owner,70000,84042,50000
Bajaj Avenger Street 220,,2016,Individual,1st owner,29000,95955,60000
Hero Honda Splendor Plus,,2004,Individual,1st owner,14500,,15000
Bajaj Platina 100,,2018,Individual,1st owner,37000,,30000
Royal Enfield Thunderbird 350X,,2018,Individual,1st owner,3246,,160000
Honda CB Unicorn 150,,2016,Individual,1st owner,27000,74295,50000
Suzuki Gixxer [2014-2018],,2017,Individual,1st owner,15000,78316,62000
Bajaj Platina 100,,2019,Individual,1st owner,15000,,45000
Royal Enfield Thunderbird 350,,2017,Individual,1st owner,4050,,120000
Royal Enfield Thunderbird 500,,2014,Individual,1st owner,25000,190874,125000
Bajaj Pulsar AS150,,2015,Individual,1st owner,5000,80821,50000
Bajaj Pulsar 150,,2012,Individual,2nd owner,5000,,30000
Hero Pleasure,,2014,Individual,1st owner,14000,51600,40000
Honda Aviator,,2013,Individual,1st owner,36500,63537,41000
Royal Enfield Thunderbird 350,,2017,Individual,2nd owner,9000,,120000
Hero Ignitor,,2014,Individual,1st owner,33200,67722,35000
Hero Honda CD100SS,,1997,Individual,1st owner,646000,,10000
TVS Apache RTR 160,,2011,Individual,1st owner,25000,,35000
Hero Achiever 150,,2017,Individual,1st owner,26000,69750,38000
Vespa LX 125,,2015,Individual,1st owner,3909,77900,50000
Honda Activa 3G,,2015,Individual,1st owner,7672,54605,40000
Hero Splendor Plus i3s,,2019,Individual,1st owner,3000,55600,70000
Royal Enfield Classic 350,,2016,Individual,1st owner,3654,,140000
Hero Maestro,,2016,Individual,2nd owner,40000,53830,26500
Hero Glamour 125,,2016,Dealer,1st owner,5500,61600,38000
Yamaha FZ16,,2016,Individual,1st owner,29950,78712,60000
Royal Enfield Himalayan,,2017,Individual,1st owner,14000,,145000
Yamaha FZ S V 2.0,,2017,Individual,1st owner,26100,84480,78000
Hero Maestro Edge,,2018,Individual,1st owner,6000,54580,58000
Yamaha FZ25,,2017,Individual,1st owner,4000,132680,130000
TVS Victor,,2001,Individual,1st owner,50000,54852,20000
Bajaj Dominar 400 [2018],,2018,Individual,1st owner,5475,163331,150000
Bajaj Pulsar 180,,2012,Individual,1st owner,40000,85011,32000
Bajaj Pulsar 180,,2017,Individual,1st owner,20500,85011,50000
KTM 200 Duke,,2017,Individual,1st owner,4100,,120000
Bajaj Avenger Street 150 [2018],,2016,Individual,2nd owner,23097,80435,60000
Bajaj Discover 100 M,,2011,Individual,1st owner,37734,44756,20000
Royal Enfield Bullet 350 [2007-2011],,2011,Individual,2nd owner,65000,,65000
Yamaha YZF R15 S,,2016,Individual,1st owner,8000,117926,70000
Yamaha FZ V 2.0,,2014,Individual,1st owner,13500,81508,35000
Bajaj Avenger Street 220,,2018,Individual,1st owner,23000,95955,95000
Bajaj Pulsar 150,,2005,Individual,1st owner,58000,,8000
Royal Enfield Thunderbird 350,,2010,Individual,1st owner,15000,,85000
Hero Achiever 150,,2016,Individual,1st owner,29000,69750,65000
Hero Passion Pro 110,,2013,Individual,1st owner,20000,,39000
Hero Duet,,2017,Individual,1st owner,35000,50280,45000
Bajaj Avenger Street 150 [2018],,2016,Individual,1st owner,45137,80435,60000
Royal Enfield Classic Stealth Black,,2018,Individual,1st owner,7500,204977,160000
Bajaj Pulsar 150,,2011,Individual,1st owner,35600,,35000
Bajaj Pulsar 135 LS,,2018,Individual,1st owner,15000,64589,40000
Yamaha Fazer [2009-2016],,2012,Individual,1st owner,7353,84751,40000
Honda CB Hornet 160R,,2017,Individual,2nd owner,13200,87543,56000
Honda CB Unicorn Dazzler,,2011,Individual,1st owner,38350,71757,22000
Yamaha YBR 125,,2014,Individual,1st owner,20400,54593,36000
Suzuki Intruder 150 Fi,,2018,Individual,1st owner,14500,110240,100000
Bajaj V15,,2016,Individual,1st owner,19500,67187,42000
Royal Enfield Electra 5 S,,2008,Individual,1st owner,20000,,85000
Hero Passion PRO TR,,2014,Individual,1st owner,36000,54586,45000
Yamaha FZ25,,2019,Individual,1st owner,4500,133680,145000
Hero Karizma [2003-2014],,2013,Individual,1st owner,38000,85766,50000
Royal Enfield Interceptor 650,,2019,Individual,1st owner,9000,,270000
Royal Enfield Thunderbird 350,,2006,Individual,1st owner,40000,,60000
Royal Enfield Classic Squadron Blue,,2017,Individual,1st owner,25000,181445,140000
Hero Honda Splendor Plus,,2008,Individual,1st owner,70889,,28000
